FilterType,b,queryTime,targetFpr,n
Cuckoo,4.000000,61.358300,0.010000,10000
Cuckoo,4.000000,57.795800,0.010000,10000
Cuckoo,4.000000,58.191700,0.010000,10000
Cuckoo,4.000000,57.933400,0.010000,10000
Cuckoo,4.000000,58.316700,0.010000,10000
Cuckoo,4.000000,59.137500,0.010000,10000
Cuckoo,4.000000,58.054100,0.010000,10000
Cuckoo,4.000000,58.270800,0.010000,10000
Cuckoo,4.000000,59.004100,0.010000,10000
Cuckoo,4.000000,59.916660,0.010000,50000
Cuckoo,4.000000,59.670000,0.010000,50000
Cuckoo,4.000000,59.762500,0.010000,50000
Cuckoo,4.000000,59.792500,0.010000,50000
Cuckoo,4.000000,59.450000,0.010000,50000
Cuckoo,4.000000,60.026660,0.010000,50000
Cuckoo,4.000000,59.550840,0.010000,50000
Cuckoo,4.000000,59.435840,0.010000,50000
Cuckoo,4.000000,59.631680,0.010000,50000
Cuckoo,4.000000,59.984160,0.010000,50000
Cuckoo,4.000000,59.492500,0.010000,50000
Cuckoo,4.000000,59.700840,0.010000,50000
Cuckoo,4.000000,59.503340,0.010000,50000
Cuckoo,4.000000,59.543320,0.010000,50000
Cuckoo,4.000000,61.355000,0.010000,50000
Cuckoo,4.000000,61.390830,0.010000,100000
Cuckoo,4.000000,60.805420,0.010000,100000
Cuckoo,4.000000,65.252090,0.010000,100000
Cuckoo,4.000000,61.677920,0.010000,100000
Cuckoo,4.000000,60.010420,0.010000,100000
Cuckoo,4.000000,60.239170,0.010000,100000
Cuckoo,4.000000,59.952920,0.010000,100000
Cuckoo,4.000000,59.814580,0.010000,100000
Cuckoo,4.000000,60.575420,0.010000,100000
Cuckoo,4.000000,60.659170,0.010000,100000
Cuckoo,4.000000,60.695000,0.010000,100000
Cuckoo,4.000000,59.890840,0.010000,100000
Cuckoo,4.000000,60.492090,0.010000,100000
Cuckoo,4.000000,59.965000,0.010000,100000
Cuckoo,4.000000,59.833330,0.010000,100000
Cuckoo,4.000000,60.648500,0.010000,500000
Cuckoo,4.000000,60.658500,0.010000,500000
Cuckoo,4.000000,64.016500,0.010000,500000
