FilterType,b,alpha,n,iteration
Cuckoo,8.000000,0.676523,1000000.000000,5
Cuckoo,8.000000,0.683240,1000000.000000,6
Cuckoo,8.000000,0.668971,1000000.000000,7
Cuckoo,8.000000,0.684699,1000000.000000,8
Cuckoo,8.000000,0.707874,1000000.000000,9
Cuckoo,1.000000,0.164429,5000000.000000,0
Cuckoo,1.000000,0.155303,5000000.000000,1
Cuckoo,1.000000,0.173401,5000000.000000,2
Cuckoo,1.000000,0.134823,5000000.000000,3
Cuckoo,1.000000,0.198273,5000000.000000,4
Cuckoo,1.000000,0.157317,5000000.000000,5
Cuckoo,1.000000,0.108007,5000000.000000,6
Cuckoo,1.000000,0.142033,5000000.000000,7
Cuckoo,1.000000,0.136413,5000000.000000,8
Cuckoo,1.000000,0.163533,5000000.000000,9
Cuckoo,2.000000,0.319609,5000000.000000,0
Cuckoo,2.000000,0.354456,5000000.000000,1
Cuckoo,2.000000,0.350756,5000000.000000,2
Cuckoo,2.000000,0.343184,5000000.000000,3
Cuckoo,2.000000,0.340123,5000000.000000,4
Cuckoo,2.000000,0.353172,5000000.000000,5
Cuckoo,2.000000,0.335458,5000000.000000,6
Cuckoo,2.000000,0.285040,5000000.000000,7
Cuckoo,2.000000,0.344994,5000000.000000,8
Cuckoo,2.000000,0.332851,5000000.000000,9
Cuckoo,4.000000,0.504422,5000000.000000,0
Cuckoo,4.000000,0.566813,5000000.000000,1
Cuckoo,4.000000,0.461636,5000000.000000,2
Cuckoo,4.000000,0.525073,5000000.000000,3
Cuckoo,4.000000,0.490280,5000000.000000,4
Cuckoo,4.000000,0.475908,5000000.000000,5
Cuckoo,4.000000,0.482036,5000000.000000,6
Cuckoo,4.000000,0.475626,5000000.000000,7
Cuckoo,4.000000,0.505781,5000000.000000,8
Cuckoo,4.000000,0.514831,5000000.000000,9
Cuckoo,8.000000,0.664930,5000000.000000,0
Cuckoo,8.000000,0.666527,5000000.000000,1
Cuckoo,8.000000,0.686580,5000000.000000,2
Cuckoo,8.000000,0.648159,5000000.000000,3
Cuckoo,8.000000,0.605321,5000000.000000,4
Cuckoo,8.000000,0.651458,5000000.000000,5
Cuckoo,8.000000,0.621709,5000000.000000,6
Cuckoo,8.000000,0.661329,5000000.000000,7
Cuckoo,8.000000,0.662217,5000000.000000,8
Cuckoo,8.000000,0.641082,5000000.000000,9
Cuckoo,1.000000,0.134198,10000000.000000,0
Cuckoo,1.000000,0.114139,10000000.000000,1
Cuckoo,1.000000,0.104694,10000000.000000,2
Cuckoo,1.000000,0.159638,10000000.000000,3
Cuckoo,1.000000,0.130700,10000000.000000,4
Cuckoo,1.000000,0.157327,10000000.000000,5
Cuckoo,1.000000,0.131477,10000000.000000,6
Cuckoo,1.000000,0.107815,10000000.000000,7
Cuckoo,1.000000,0.106561,10000000.000000,8
Cuckoo,1.000000,0.159671,10000000.000000,9
Cuckoo,2.000000,0.279702,10000000.000000,0
Cuckoo,2.000000,0.293464,10000000.000000,1
Cuckoo,2.000000,0.296121,10000000.000000,2
Cuckoo,2.000000,0.353314,10000000.000000,3
Cuckoo,2.000000,0.330043,10000000.000000,4
Cuckoo,2.000000,0.328671,10000000.000000,5
Cuckoo,2.000000,0.308544,10000000.000000,6
Cuckoo,2.000000,0.335651,10000000.000000,7
Cuckoo,2.000000,0.278382,10000000.000000,8
Cuckoo,2.000000,0.309110,10000000.000000,9
Cuckoo,4.000000,0.496887,10000000.000000,0
Cuckoo,4.000000,0.443895,10000000.000000,1
Cuckoo,4.000000,0.499214,10000000.000000,2
Cuckoo,4.000000,0.507895,10000000.000000,3
Cuckoo,4.000000,0.491412,10000000.000000,4
Cuckoo,4.000000,0.514278,10000000.000000,5
Cuckoo,4.000000,0.505719,10000000.000000,6
Cuckoo,4.000000,0.540343,10000000.000000,7
Cuckoo,4.000000,0.516614,10000000.000000,8
Cuckoo,4.000000,0.461281,10000000.000000,9
Cuckoo,8.000000,0.639232,10000000.000000,0
Cuckoo,8.000000,0.642251,10000000.000000,1
Cuckoo,8.000000,0.638733,10000000.000000,2
Cuckoo,8.000000,0.577162,10000000.000000,3
Cuckoo,8.000000,0.609890,10000000.000000,4
Cuckoo,8.000000,0.624730,10000000.000000,5
Cuckoo,8.000000,0.654116,10000000.000000,6
Cuckoo,8.000000,0.635682,10000000.000000,7
Cuckoo,8.000000,0.615646,10000000.000000,8
Cuckoo,8.000000,0.654119,10000000.000000,9
