FilterType,lf,queryTime,n,iteration
Xor,0.750000,6.345800,1000000.000000,6
Xor,0.750000,6.316600,1000000.000000,7
Xor,0.750000,6.329200,1000000.000000,8
Xor,0.750000,6.320800,1000000.000000,9
Xor,0.750000,7.408300,1000000.000000,10
Xor,1.000000,6.795800,1000000.000000,1
Xor,1.000000,6.333300,1000000.000000,2
Xor,1.000000,6.329200,1000000.000000,3
Xor,1.000000,6.320900,1000000.000000,4
Xor,1.000000,6.341700,1000000.000000,5
Xor,1.000000,6.329200,1000000.000000,6
Xor,1.000000,6.345800,1000000.000000,7
Xor,1.000000,6.345800,1000000.000000,8
Xor,1.000000,6.333400,1000000.000000,9
Xor,1.000000,6.362500,1000000.000000,10




