FilterType,n,fpr,targetFpr,b
Bloom,5000000.000000,0.007599,0.010000,2
Bloom,5000000.000000,0.007646,0.010000,2
Bloom,5000000.000000,0.007542,0.010000,2
Bloom,5000000.000000,0.007593,0.010000,2
Bloom,5000000.000000,0.007643,0.010000,2
Bloom,5000000.000000,0.007615,0.010000,2
Bloom,5000000.000000,0.007614,0.010000,2
Bloom,5000000.000000,0.007603,0.010000,2
Bloom,5000000.000000,0.007614,0.010000,2
Bloom,5000000.000000,0.007592,0.010000,2
Bloom,5000000.000000,0.007493,0.010000,4
Bloom,5000000.000000,0.007550,0.010000,4
Bloom,5000000.000000,0.007545,0.010000,4
Bloom,5000000.000000,0.007547,0.010000,4
Bloom,5000000.000000,0.007483,0.010000,4
Bloom,5000000.000000,0.007521,0.010000,4
Bloom,5000000.000000,0.007471,0.010000,4
Bloom,5000000.000000,0.007416,0.010000,4
Bloom,5000000.000000,0.007538,0.010000,4
Bloom,5000000.000000,0.007565,0.010000,4
Bloom,5000000.000000,0.007414,0.010000,8
Bloom,5000000.000000,0.007430,0.010000,8
Bloom,5000000.000000,0.007456,0.010000,8
Bloom,5000000.000000,0.007498,0.010000,8
Bloom,5000000.000000,0.007490,0.010000,8
Bloom,5000000.000000,0.007435,0.010000,8
Bloom,5000000.000000,0.007469,0.010000,8
Bloom,5000000.000000,0.007504,0.010000,8
Bloom,5000000.000000,0.007447,0.010000,8
Bloom,5000000.000000,0.007487,0.010000,8
Bloom,10000000.000000,0.007733,0.010000,1
Bloom,10000000.000000,0.007694,0.010000,1
Bloom,10000000.000000,0.007735,0.010000,1
Bloom,10000000.000000,0.007677,0.010000,1
Bloom,10000000.000000,0.007712,0.010000,1
Bloom,10000000.000000,0.007743,0.010000,1
Bloom,10000000.000000,0.007742,0.010000,1
Bloom,10000000.000000,0.007709,0.010000,1
Bloom,10000000.000000,0.007711,0.010000,1
Bloom,10000000.000000,0.007743,0.010000,1
Bloom,10000000.000000,0.007606,0.010000,2
Bloom,10000000.000000,0.007604,0.010000,2
Bloom,10000000.000000,0.007598,0.010000,2
Bloom,10000000.000000,0.007647,0.010000,2
Bloom,10000000.000000,0.007603,0.010000,2
Bloom,10000000.000000,0.007607,0.010000,2
Bloom,10000000.000000,0.007637,0.010000,2
Bloom,10000000.000000,0.007652,0.010000,2
Bloom,10000000.000000,0.007587,0.010000,2
Bloom,10000000.000000,0.007607,0.010000,2
Bloom,10000000.000000,0.007558,0.010000,4
Bloom,10000000.000000,0.007546,0.010000,4
Bloom,10000000.000000,0.007553,0.010000,4
Bloom,10000000.000000,0.007558,0.010000,4
Bloom,10000000.000000,0.007516,0.010000,4
Bloom,10000000.000000,0.007583,0.010000,4
Bloom,10000000.000000,0.007542,0.010000,4
Bloom,10000000.000000,0.007553,0.010000,4
Bloom,10000000.000000,0.007532,0.010000,4
Bloom,10000000.000000,0.007561,0.010000,4
Bloom,10000000.000000,0.007476,0.010000,8
Bloom,10000000.000000,0.007473,0.010000,8
Bloom,10000000.000000,0.007515,0.010000,8
Bloom,10000000.000000,0.007443,0.010000,8
Bloom,10000000.000000,0.007470,0.010000,8
Bloom,10000000.000000,0.007490,0.010000,8
Bloom,10000000.000000,0.007468,0.010000,8
Bloom,10000000.000000,0.007515,0.010000,8
Bloom,10000000.000000,0.007494,0.010000,8
Bloom,10000000.000000,0.007452,0.010000,8
