FilterType,b,alpha,n,iteration
Cuckoo,4.000000,1.000000,1000000.000000,5
Cuckoo,4.000000,1.000000,1000000.000000,6
Cuckoo,4.000000,1.000000,1000000.000000,7
Cuckoo,4.000000,1.000000,1000000.000000,8
Cuckoo,4.000000,1.000000,1000000.000000,9
Cuckoo,4.000000,1.000000,1000000.000000,10
Cuckoo,4.000000,1.000000,1000000.000000,11
Cuckoo,4.000000,1.000000,1000000.000000,12
Cuckoo,4.000000,1.000000,1000000.000000,13
Cuckoo,4.000000,1.000000,1000000.000000,14
Cuckoo,8.000000,1.000000,1000000.000000,0
Cuckoo,8.000000,1.000000,1000000.000000,1
Cuckoo,8.000000,1.000000,1000000.000000,2
Cuckoo,8.000000,1.000000,1000000.000000,3
Cuckoo,8.000000,1.000000,1000000.000000,4
Cuckoo,8.000000,1.000000,1000000.000000,5
Cuckoo,8.000000,1.000000,1000000.000000,6
Cuckoo,8.000000,1.000000,1000000.000000,7
Cuckoo,8.000000,1.000000,1000000.000000,8
Cuckoo,8.000000,1.000000,1000000.000000,9
Cuckoo,8.000000,1.000000,1000000.000000,10
Cuckoo,8.000000,1.000000,1000000.000000,11
Cuckoo,8.000000,1.000000,1000000.000000,12
Cuckoo,8.000000,1.000000,1000000.000000,13
Cuckoo,8.000000,1.000000,1000000.000000,14
Cuckoo,1.000000,0.145222,10000000.000000,0
Cuckoo,1.000000,0.138963,10000000.000000,1
Cuckoo,1.000000,0.097824,10000000.000000,2
Cuckoo,1.000000,0.138657,10000000.000000,3
Cuckoo,1.000000,0.172172,10000000.000000,4
Cuckoo,1.000000,0.134844,10000000.000000,5
Cuckoo,1.000000,0.171176,10000000.000000,6
Cuckoo,1.000000,0.107596,10000000.000000,7
Cuckoo,1.000000,0.093472,10000000.000000,8
Cuckoo,1.000000,0.126807,10000000.000000,9
Cuckoo,1.000000,0.131421,10000000.000000,10
Cuckoo,1.000000,0.097669,10000000.000000,11
Cuckoo,1.000000,0.105788,10000000.000000,12
Cuckoo,1.000000,0.037912,10000000.000000,13
Cuckoo,1.000000,0.136252,10000000.000000,14
Cuckoo,2.000000,1.000000,10000000.000000,0
Cuckoo,2.000000,1.000000,10000000.000000,1
Cuckoo,2.000000,1.000000,10000000.000000,2
Cuckoo,2.000000,1.000000,10000000.000000,3
Cuckoo,2.000000,1.000000,10000000.000000,4
Cuckoo,2.000000,1.000000,10000000.000000,5
Cuckoo,2.000000,1.000000,10000000.000000,6
Cuckoo,2.000000,1.000000,10000000.000000,7
Cuckoo,2.000000,1.000000,10000000.000000,8
Cuckoo,2.000000,1.000000,10000000.000000,9
Cuckoo,2.000000,1.000000,10000000.000000,10
Cuckoo,2.000000,1.000000,10000000.000000,11
Cuckoo,2.000000,1.000000,10000000.000000,12
Cuckoo,2.000000,1.000000,10000000.000000,13
Cuckoo,2.000000,1.000000,10000000.000000,14
Cuckoo,4.000000,1.000000,10000000.000000,0
Cuckoo,4.000000,1.000000,10000000.000000,1
Cuckoo,4.000000,1.000000,10000000.000000,2
Cuckoo,4.000000,1.000000,10000000.000000,3
Cuckoo,4.000000,1.000000,10000000.000000,4
Cuckoo,4.000000,1.000000,10000000.000000,5
Cuckoo,4.000000,1.000000,10000000.000000,6
Cuckoo,4.000000,1.000000,10000000.000000,7
Cuckoo,4.000000,1.000000,10000000.000000,8
Cuckoo,4.000000,1.000000,10000000.000000,9
Cuckoo,4.000000,1.000000,10000000.000000,10
Cuckoo,4.000000,1.000000,10000000.000000,11
Cuckoo,4.000000,1.000000,10000000.000000,12
Cuckoo,4.000000,1.000000,10000000.000000,13
Cuckoo,4.000000,1.000000,10000000.000000,14
Cuckoo,8.000000,1.000000,10000000.000000,0
Cuckoo,8.000000,1.000000,10000000.000000,1
Cuckoo,8.000000,1.000000,10000000.000000,2
Cuckoo,8.000000,1.000000,10000000.000000,3
Cuckoo,8.000000,1.000000,10000000.000000,4
Cuckoo,8.000000,1.000000,10000000.000000,5
Cuckoo,8.000000,1.000000,10000000.000000,6
Cuckoo,8.000000,1.000000,10000000.000000,7
Cuckoo,8.000000,1.000000,10000000.000000,8
Cuckoo,8.000000,1.000000,10000000.000000,9
Cuckoo,8.000000,1.000000,10000000.000000,10
Cuckoo,8.000000,1.000000,10000000.000000,11
Cuckoo,8.000000,1.000000,10000000.000000,12
Cuckoo,8.000000,1.000000,10000000.000000,13
Cuckoo,8.000000,1.000000,10000000.000000,14
