FilterType,b,alpha,n,iteration
Cuckoo,4.000000,0.566227,1000000.000000,6
Cuckoo,4.000000,0.627331,1000000.000000,7
Cuckoo,4.000000,0.542755,1000000.000000,8
Cuckoo,4.000000,0.583781,1000000.000000,9
Cuckoo,4.000000,0.529943,1000000.000000,10
Cuckoo,4.000000,0.524197,1000000.000000,11
Cuckoo,4.000000,0.578207,1000000.000000,12
Cuckoo,4.000000,0.535348,1000000.000000,13
Cuckoo,4.000000,0.502144,1000000.000000,14
Cuckoo,8.000000,0.694152,1000000.000000,0
Cuckoo,8.000000,0.639002,1000000.000000,1
Cuckoo,8.000000,0.693721,1000000.000000,2
Cuckoo,8.000000,0.679946,1000000.000000,3
Cuckoo,8.000000,0.704034,1000000.000000,4
Cuckoo,8.000000,0.697803,1000000.000000,5
Cuckoo,8.000000,0.677527,1000000.000000,6
Cuckoo,8.000000,0.682995,1000000.000000,7
Cuckoo,8.000000,0.678436,1000000.000000,8
Cuckoo,8.000000,0.688794,1000000.000000,9
Cuckoo,8.000000,0.681496,1000000.000000,10
Cuckoo,8.000000,0.687032,1000000.000000,11
Cuckoo,8.000000,0.712313,1000000.000000,12
Cuckoo,8.000000,0.631301,1000000.000000,13
Cuckoo,8.000000,0.688065,1000000.000000,14
Cuckoo,1.000000,0.145654,10000000.000000,0
Cuckoo,1.000000,0.134011,10000000.000000,1
Cuckoo,1.000000,0.138913,10000000.000000,2
Cuckoo,1.000000,0.124875,10000000.000000,3
Cuckoo,1.000000,0.134594,10000000.000000,4
Cuckoo,1.000000,0.020621,10000000.000000,5
Cuckoo,1.000000,0.087308,10000000.000000,6
Cuckoo,1.000000,0.149879,10000000.000000,7
Cuckoo,1.000000,0.138947,10000000.000000,8
Cuckoo,1.000000,0.142816,10000000.000000,9
Cuckoo,1.000000,0.105540,10000000.000000,10
Cuckoo,1.000000,0.117525,10000000.000000,11
Cuckoo,1.000000,0.120858,10000000.000000,12
Cuckoo,1.000000,0.136446,10000000.000000,13
Cuckoo,1.000000,0.142918,10000000.000000,14
Cuckoo,2.000000,0.279185,10000000.000000,0
Cuckoo,2.000000,0.311993,10000000.000000,1
Cuckoo,2.000000,0.268870,10000000.000000,2
Cuckoo,2.000000,0.298191,10000000.000000,3
Cuckoo,2.000000,0.306650,10000000.000000,4
Cuckoo,2.000000,0.319267,10000000.000000,5
Cuckoo,2.000000,0.310596,10000000.000000,6
Cuckoo,2.000000,0.327661,10000000.000000,7
Cuckoo,2.000000,0.289575,10000000.000000,8
Cuckoo,2.000000,0.327726,10000000.000000,9
